wellenlaenge arbitrary
768.082 36.606
768.184 47.605
768.285 49.604
768.386 60.603
768.487 80.602
768.588 26.601
768.690 48.600
768.791 82.599
768.892 27.598
768.993 1.597
769.094 54.596
769.195 60.595
769.296 59.594
769.397 117.593
769.498 103.593
769.599 85.592
769.700 98.591
769.800 142.590
769.901 162.589
770.002 112.588
770.103 161.587
770.204 186.586
770.304 177.585
770.405 208.584
770.506 167.583
770.607 249.582
770.707 367.582
770.808 524.581
770.909 753.580
771.009 1188.579
771.110 1478.578
771.210 2807.577
771.311 10387.576
771.411 31496.575
771.512 54760.574
771.612 58251.574
771.713 58604.573
771.813 30179.572
771.914 9150.571
772.014 2542.570
772.114 1271.569
772.215 910.568
772.315 880.567
772.415 556.567
772.515 372.566
772.616 369.565
772.716 251.564
772.816 197.563
772.916 187.562
773.016 127.561
773.117 110.560
773.217 77.560
773.317 13.559
773.417 40.558
773.517 32.557
773.617 110.556
773.717 78.555
773.817 42.555
773.917 27.554
774.017 38.553
774.117 19.552
774.216 68.551
774.316 27.550
774.416 10.550
774.516 45.549
774.616 72.548
774.715 0.547
774.815 40.546
774.915 37.545
775.015 3.545
775.114 57.544
775.214 23.543
775.314 74.542
775.413 28.541
775.513 19.540
775.612 18.540
775.712 8.539
775.811 32.538
775.911 -17.463
776.010 20.536
776.110 -8.464
776.209 58.535
776.309 15.534
776.408 41.533
776.507 -7.468
776.607 49.532
776.706 -12.469
776.805 -2.470
776.904 5.529
777.004 3.528
777.103 42.528
777.202 44.527
777.301 27.526
777.400 44.525
777.500 12.525
777.599 11.524
777.698 4.523
777.797 34.522
777.896 5.521
777.995 34.521
778.094 15.520
778.193 -7.481
778.292 64.518
778.391 20.518
778.490 46.517
778.588 -32.484
778.687 -10.485
778.786 9.515
778.885 15.514
778.984 -8.487
779.082 68.512
779.181 36.512
779.280 54.511
779.379 27.510
779.477 39.509
779.576 -6.491
779.675 -41.492
779.773 40.507
779.872 -10.494
779.970 76.506
780.069 25.505
780.167 -19.496
780.266 17.503
780.364 41.503
780.463 -9.498
780.561 40.501
780.660 -0.500
780.758 -4.500
780.856 2.499
780.955 28.498
781.053 49.498
781.151 -7.503
781.249 -15.504
781.348 2.495
781.446 46.495
781.544 16.494
781.642 34.493
781.740 28.493
781.838 25.492
781.937 -7.509
782.035 56.490
782.133 31.490
782.231 -11.511
782.329 -17.512
782.427 -1.512
782.525 0.487
782.623 -34.514
782.721 20.485
782.818 47.485
782.916 12.484
783.014 2.483
783.112 2.483
783.210 47.482
783.308 12.481
783.405 9.481
783.503 -31.520
783.601 36.479
783.699 0.479
783.796 27.478
783.894 42.477
783.991 45.477
784.089 69.476
784.187 -1.525
784.284 -31.526
784.382 -12.526
784.479 10.473
784.577 -12.528
784.674 34.472
784.772 50.471
784.869 12.470
784.966 28.470
785.064 1.469
785.161 -5.532
785.258 30.468
785.356 48.467
785.453 -13.534
785.550 -17.534
785.648 6.465
785.745 13.465
785.842 27.464
785.939 -27.537
786.036 44.463
786.133 30.462
786.231 28.461
786.328 -9.539
786.425 -5.540
786.522 8.459
786.619 -2.541
786.716 12.458
786.813 -17.543
786.910 57.457
787.006 -1.544
787.103 20.455
787.200 42.455
787.297 -33.546
787.394 41.454
787.491 9.453
787.588 -19.548
787.684 38.452
787.781 5.451
787.878 -35.550
787.974 36.450
788.071 23.449
788.168 24.449
788.264 -32.552
788.361 2.447
788.458 53.447
788.554 3.446
788.651 -43.555
788.747 -11.555
788.844 9.444
788.940 12.444
789.037 12.443
789.133 22.442
789.229 46.442
789.326 9.441
789.422 -5.559
789.518 -8.560
789.615 16.439
789.711 16.439
789.807 -29.562
789.903 72.438
790.000 10.437
790.096 -12.564
790.192 70.436
790.288 27.435
790.384 4.435
790.480 -17.566
790.576 38.433
790.673 51.433
790.769 7.432
790.865 34.432
790.961 -9.569
791.057 38.430
791.152 -3.570
791.248 30.429
791.344 16.429
791.440 9.428
791.536 20.428
791.632 8.427
791.728 50.426
791.823 -44.574
791.919 -21.575
792.015 -11.575
792.111 27.424
792.206 23.423
792.302 17.423
792.398 0.422
792.493 -14.578
792.589 24.421
792.684 39.421
792.780 -8.580
792.875 47.419
792.971 -11.581
793.066 -10.582
793.162 -13.582
793.257 57.417
793.353 58.417
793.448 3.416
793.544 41.416
793.639 29.415
793.734 -6.586
793.830 14.414
793.925 33.413
794.020 -6.587
794.115 -41.588
794.211 -5.588
794.306 -10.589
794.401 3.411
794.496 29.410
794.591 22.409
794.686 -17.591
794.781 -13.592
794.876 -11.592
794.971 26.407
795.066 2.407
795.161 1.406
795.256 -2.594
795.351 -17.595
795.446 -21.595
795.541 -12.596
795.636 -68.596
795.731 23.403
795.826 -16.598
795.920 -22.598
796.015 24.401
796.110 -5.599
796.205 26.400
796.299 60.400
796.394 60.399
796.489 -33.601
796.583 -73.602
796.678 -30.602
796.773 34.397
