wellenlaenge arbitrary
741.952 525.112
742.059 469.311
742.166 388.509
742.273 397.706
742.380 403.903
742.487 697.100
742.593 498.296
742.700 459.492
742.807 384.687
742.914 361.881
743.021 288.075
743.127 324.269
743.234 415.462
743.341 461.655
743.447 445.847
743.554 433.039
743.661 535.230
743.767 477.421
743.874 391.611
743.980 415.801
744.087 452.990
744.193 533.179
744.300 436.367
744.406 342.555
744.513 473.743
744.619 417.930
744.725 353.116
744.832 361.302
744.938 441.488
745.044 393.673
745.151 369.858
745.257 412.042
745.363 436.226
745.469 437.409
745.576 390.592
745.682 264.774
745.788 361.956
745.894 420.138
746.000 442.319
746.106 401.499
746.212 384.680
746.318 449.859
746.424 554.039
746.530 443.218
746.636 472.396
746.742 441.574
746.848 498.751
746.954 493.928
747.060 569.105
747.166 506.281
747.272 336.457
747.378 375.633
747.483 468.807
747.589 406.982
747.695 374.156
747.801 573.330
747.906 491.503
748.012 342.676
748.118 428.848
748.223 446.020
748.329 494.192
748.434 556.363
748.540 598.533
748.645 490.704
748.751 566.873
748.856 444.043
748.962 428.212
749.067 512.381
749.173 385.549
749.278 403.717
749.384 399.884
749.489 345.051
749.594 248.218
749.700 369.384
749.805 371.550
749.910 377.715
750.015 356.880
750.121 298.044
750.226 403.209
750.331 466.372
750.436 458.536
750.541 423.699
750.646 371.861
750.751 428.024
750.856 438.185
750.962 423.347
751.067 492.508
751.172 373.668
751.277 512.829
751.381 485.988
751.486 294.148
751.591 372.307
751.696 423.466
751.801 392.624
751.906 459.782
752.011 533.940
752.115 531.097
752.220 416.254
752.325 362.410
752.430 439.566
752.534 392.722
752.639 381.877
752.744 448.032
752.848 446.186
752.953 318.341
753.057 430.494
753.162 369.648
753.267 405.801
753.371 578.954
753.476 483.106
753.580 383.258
753.685 439.410
753.789 512.561
753.893 454.712
753.998 352.862
754.102 462.013
754.206 392.162
754.311 380.312
754.415 395.461
754.519 333.610
754.624 406.758
754.728 441.906
754.832 374.054
754.936 365.201
755.040 433.348
755.144 362.495
755.248 335.641
755.353 463.787
755.457 522.933
755.561 370.078
755.665 450.223
755.769 486.368
755.873 387.512
755.977 333.656
756.080 329.799
756.184 428.942
756.288 430.085
756.392 369.228
756.496 423.370
756.600 567.512
756.704 555.653
756.807 593.795
756.911 569.936
757.015 367.076
757.118 601.216
757.222 474.356
757.326 368.496
757.429 424.635
757.533 396.774
757.637 416.912
757.740 489.051
757.844 663.189
757.947 473.326
758.051 288.464
758.154 468.600
758.258 493.737
758.361 397.873
758.464 451.009
758.568 511.145
758.671 525.281
758.774 334.416
758.878 465.550
758.981 410.685
759.084 408.819
759.188 518.953
759.291 487.086
759.394 521.219
759.497 551.352
759.600 577.485
759.703 479.617
759.807 394.749
759.910 474.881
760.013 482.012
760.116 463.143
760.219 602.274
760.322 545.404
760.425 428.534
760.528 484.664
760.631 406.794
760.733 439.923
760.836 523.052
760.939 525.180
761.042 472.309
761.145 370.437
761.248 352.564
761.350 378.692
761.453 362.819
761.556 480.946
761.659 547.073
761.761 558.199
761.864 483.325
761.967 441.450
762.069 435.576
762.172 427.701
762.274 425.826
762.377 458.950
762.479 483.075
762.582 533.199
762.684 470.322
762.787 359.446
762.889 384.569
762.992 370.692
763.094 375.814
763.196 395.937
763.299 479.059
763.401 457.180
763.503 435.302
763.605 436.423
