wellenlaenge,arbitraer
-0.0000009278,0.10875
-0.0000009276,0.0784375
-0.0000009274,0.05
-0.0000009272,0.0715625
-0.000000927,0.0810156
-0.0000009268,0.101641
-0.0000009266,0.0952344
-0.0000009264,0.0600781
-0.0000009262,0.0908594
-0.000000926,0.0796875
-0.0000009258,0.07875
-0.0000009256,0.0471094
-0.0000009254,0.0288281
-0.0000009252,0.00929688
-0.000000925,-0.00015625
-0.0000009248,-0.0113281
-0.0000009246,-0.0510937
-0.0000009244,-0.0401562
-0.0000009242,-0.0716406
-0.000000924,-0.0901562
-0.0000009238,-0.101328
-0.0000009236,-0.130234
-0.0000009234,-0.106797
-0.0000009232,-0.0611719
-0.000000923,-0.03
-0.0000009228,-0.000078125
-0.0000009226,0.02125
-0.0000009224,0.0677344
-0.0000009222,0.118047
-0.000000922,0.149844
-0.0000009218,0.140625
-0.0000009216,0.170313
-0.0000009214,0.15
-0.0000009212,0.15875
-0.000000921,0.152734
-0.0000009208,0.140313
-0.0000009206,0.140781
-0.0000009204,0.123672
-0.0000009202,0.117578
-0.00000092,0.156875
-0.0000009198,0.250234
-0.0000009196,0.47875
-0.0000009194,0.785
-0.0000009192,1.09969
-0.000000919,1.37898
-0.0000009188,1.61914
-0.0000009186,1.7782
-0.0000009184,1.83109
-0.0000009182,1.81625
-0.000000918,1.71531
-0.0000009178,1.5357
-0.0000009176,1.2882
-0.0000009174,1.03445
-0.0000009172,0.826953
-0.000000917,0.687266
-0.0000009168,0.560078
-0.0000009166,0.474766
-0.0000009164,0.368359
-0.0000009162,0.259922
-0.000000916,0.209375
-0.0000009158,0.192656
-0.0000009156,0.128125
-0.0000009154,0.109453
-0.0000009152,0.0897656
-0.000000915,0.0600781
-0.0000009148,0.0797656
-0.0000009146,0.0588281
-0.0000009144,0.091875
-0.0000009142,0.108203
-0.000000914,0.079375
-0.0000009138,0.0814063
-0.0000009136,0.09
-0.0000009134,0.0878125
-0.0000009132,0.0496875
-0.000000913,0.030625
-0.0000009128,0.0298438
-0.0000009126,-0.01
-0.0000009124,0.02
-0.0000009122,-0.0252344
-0.000000912,-0.0496094
-0.0000009118,-0.0835156
-0.0000009116,-0.120781
-0.0000009114,-0.11875
-0.0000009112,-0.101172
-0.000000911,-0.07875
-0.0000009108,-0.0699219
-0.0000009106,-0.0482812
-0.0000009104,-0.0214844
-0.0000009102,0.0133594
-0.00000091,0.068125
-0.0000009098,0.1125
-0.0000009096,0.139766
-0.0000009094,0.14
-0.0000009092,0.149375
-0.000000909,0.149766
-0.0000009088,0.159453
-0.0000009086,0.160156
-0.0000009084,0.152578
-0.0000009082,0.130781
-0.000000908,0.121563
-0.0000009078,0.112266
-0.0000009076,0.131094
-0.0000009074,0.264531
-0.0000009072,0.487891
-0.000000907,0.747422
-0.0000009068,1.03953
-0.0000009066,1.35477
-0.0000009064,1.59461
-0.0000009062,1.75406
-0.000000906,1.84633
-0.0000009058,1.83453
-0.0000009056,1.73891
-0.0000009054,1.50555
-0.0000009052,1.27188
-0.000000905,1.06383
-0.0000009048,0.876172
-0.0000009046,0.716484
-0.0000009044,0.548828
-0.0000009042,0.462734
-0.000000904,0.374922
-0.0000009038,0.283047
-0.0000009036,0.221094
-0.0000009034,0.191484
-0.0000009032,0.133359
-0.000000903,0.100859
-0.0000009028,0.0896875
-0.0000009026,0.100156
-0.0000009024,0.0703125
-0.0000009022,0.0892188
-0.000000902,0.0804688
-0.0000009018,0.0903125
-0.0000009016,0.0999219
-0.0000009014,0.0797656
-0.0000009012,0.0799219
-0.000000901,0.0686719
-0.0000009008,0.0185156
-0.0000009006,0.0199219
-0.0000009004,0.00890625
-0.0000009002,-0.0229687
-0.0000009,-0.039375
-0.0000008998,-0.0197656
-0.0000008996,-0.0419531
-0.0000008994,-0.0604687
-0.0000008992,-0.0808594
-0.000000899,-0.1
-0.0000008988,-0.1
-0.0000008986,-0.119844
-0.0000008984,-0.09
-0.0000008982,-0.0477344
-0.000000898,0.0113281
-0.0000008978,0.04
-0.0000008976,0.0716406
-0.0000008974,0.101484
-0.0000008972,0.141094
-0.000000897,0.150781
-0.0000008968,0.13
-0.0000008966,0.150234
-0.0000008964,0.149766
-0.0000008962,0.130313
-0.000000896,0.119844
-0.0000008958,0.11
-0.0000008956,0.121328
-0.0000008954,0.130078
-0.0000008952,0.14
-0.000000895,0.230469
-0.0000008948,0.398438
-0.0000008946,0.731563
-0.0000008944,1.00773
-0.0000008942,1.29586
-0.000000894,1.5432
-0.0000008938,1.71148
-0.0000008936,1.78703
-0.0000008934,1.79
-0.0000008932,1.71578
-0.000000893,1.57094
-0.0000008928,1.32656
-0.0000008926,1.08281
-0.0000008924,0.874141
-0.0000008922,0.708906
-0.000000892,0.587813
-0.0000008918,0.474688
-0.0000008916,0.362578
-0.0000008914,0.292578
-0.0000008912,0.200547
-0.000000891,0.190625
-0.0000008908,0.170234
-0.0000008906,0.128203
-0.0000008904,0.0807031
-0.0000008902,0.0900781
-0.00000089,0.0798438
-0.0000008898,0.0699219
-0.0000008896,0.0796875
-0.0000008894,0.0897656
-0.0000008892,0.0700781
-0.000000889,0.0603125
-0.0000008888,0.0798438
-0.0000008886,0.0585156
-0.0000008884,0.0601563
-0.0000008882,0.0586719
-0.000000888,0.0289063
-0.0000008878,0.00882813
-0.0000008876,-0.00109375
-0.0000008874,-0.0102344
-0.0000008872,-0.0332812
-0.000000887,-0.0847656
-0.0000008868,-0.0897656
-0.0000008866,-0.0808594
-0.0000008864,-0.100312
-0.0000008862,-0.088125
-0.000000886,-0.0682031
-0.0000008858,-0.0483594
-0.0000008856,-0.0182812
-0.0000008854,0.0217188
-0.0000008852,0.0419531
-0.000000885,0.114531
-0.0000008848,0.140078
