Wellenlaenge,Intensitaet1,Abstand,Intensitaet2
741.203,-13,0.734,0.082
741.31,-19,0.735,0.122
741.417,-9,0.736,0.036
741.524,-14,0.737,0.047
741.631,-4,0.738,0.315
741.738,-7,0.739,0.017
741.845,-12,0.741,0.185
741.952,-24,0.742,0.284
742.059,16,0.743,0.35
742.166,0,0.744,0.232
742.273,-2,0.745,0.065
742.38,10,0.746,0.258
742.487,-12,0.747,0.277
742.593,-13,0.748,0.429
742.7,-10,0.749,0.081
742.807,-23,0.75,0.323
742.914,-15,0.751,0.025
743.021,-20,0.752,0.035
743.127,-2,0.753,0.299
743.234,12,0.754,0.251
743.341,-8,0.756,0.077
743.447,-12,0.757,0.106
743.554,-11,0.758,0.017
743.661,-6,0.759,0.636
743.767,9,0.76,0.159
743.874,0,0.761,0.346
743.98,-4,0.762,0.276
744.087,-9,0.763,0.178
744.193,-4,0.764,0.239
744.3,-8,0.765,0.448
744.406,12,0.766,0.288
744.513,-6,0.767,0.07
744.619,-9,0.768,0.541
744.725,-30,0.769,0.068
744.832,-9,0.771,0.189
744.938,-8,0.772,0.092
745.044,-4,0.773,0.139
745.151,-12,0.774,0.007
745.257,-16,0.775,0.246
745.363,1,0.776,0.078
745.469,3,0.777,0.035
745.576,10,0.778,0.154
745.682,13,0.779,0.037
745.788,-4,0.78,0.164
745.894,-15,0.781,0.08
746,-10,0.782,0.105
746.106,-21,0.783,0.008
746.212,-18,0.784,0.059
746.318,-1,0.786,0.315
746.424,12,0.787,0.07
746.53,17,0.788,0.126
746.636,-5,0.789,0.007
746.742,-6,0.79,0.108
746.848,-17,0.791,0.404
746.954,-11,0.792,0.268
747.06,-15,0.793,0.004
747.166,-8,0.794,0.014
747.272,-16,0.795,0.168
747.378,-19,0.796,0.179
747.483,-3,0.797,0.17
747.589,-29,0.798,0.04
747.695,-10,0.799,0.255
747.801,13,0.801,0.037
747.906,-11,0.802,0.57
748.012,-20,0.803,0.112
748.118,6,0.804,0.207
748.223,-8,0.805,0.242
748.329,-2,0.806,0.232
748.434,-16,0.807,0.072
748.54,0,0.808,0.121
748.645,13,0.809,0.113
748.751,29,0.81,0.188
748.856,-19,0.811,0.485
748.962,1,0.812,0.137
749.067,4,0.813,0.101
749.173,-19,0.814,0.3
749.278,2,0.816,0.063
749.384,-14,0.817,0.017
749.489,-8,0.818,0.244
749.594,-4,0.819,0.138
749.7,-12,0.82,0.014
749.805,-19,0.821,0.501
749.91,-13,0.822,0.038
750.015,7,0.823,0.014
750.121,-8,0.824,0.094
750.226,-11,0.825,0.101
750.331,-13,0.826,0.19
750.436,-9,0.827,0.21
750.541,-6,0.828,0.377
750.646,-23,0.829,0.26
750.751,7,0.831,0.294
750.856,5,0.832,0.171
750.962,-8,0.833,0.039
751.067,-8,0.834,0.081
751.172,14,0.835,0.14
751.277,-16,0.836,0.025
751.381,-23,0.837,0.275
751.486,-5,0.838,0.003
751.591,-3,0.839,0.029
751.696,6,0.84,0.152
751.801,-17,0.841,0.16
751.906,7,0.842,0.24
752.011,-2,0.843,0.233
752.115,12,0.844,0.318
752.22,-5,0.846,0.054
752.325,0,0.847,0.087
752.43,-6,0.848,0.208
752.534,7,0.849,0.172
752.639,-24,0.85,0.343
752.744,-11,0.851,0.245
752.848,5,0.852,0.474
752.953,8,0.853,0.223
753.057,11,0.854,0.072
753.162,-10,0.855,0.137
753.267,-21,0.856,0.145
753.371,-27,0.857,0.232
753.476,8,0.858,0.4
753.58,-25,0.859,0.046
753.685,1,0.861,0.124
753.789,2,0.862,0.249
753.893,-11,0.863,0.023
753.998,-13,0.864,0.295
754.102,-12,0.865,0.04
754.206,-26,0.866,0.283
754.311,-11,0.867,0.296
754.415,-2,0.868,0.145
754.519,4,0.869,0.635
754.624,2,0.87,0.432
754.728,-22,0.871,0.059
754.832,10,0.872,0.097
754.936,10,0.873,0.084
755.04,-22,0.874,0.148
755.144,6,0.876,0.194
755.248,9,0.877,0.005
755.353,-17,0.878,0.413
755.457,-9,0.879,0.137
755.561,0,0.88,0.036
755.665,-6,0.881,0.09
755.769,-13,0.882,0.044
755.873,0,0.883,0.189
755.977,-5,0.884,0.283
756.08,-9,0.885,0.128
756.184,4,0.886,0.147
756.288,12,0.887,0.198
756.392,-10,0.888,0.123
756.496,1,0.889,0.304
756.6,-10,0.891,0.22
756.704,11,0.892,0.237
756.807,-25,0.893,0.211
756.911,-14,0.894,0.086
757.015,15,0.895,0.455
757.118,14,0.896,0.252
757.222,-12,0.897,0.311
757.326,-15,0.898,0.033
757.429,-23,0.899,0.349
757.533,4,0.9,0.422
757.637,-18,0.901,0.099
757.74,21,0.902,0.129
757.844,-2,0.903,0.196
757.947,11,0.904,0.039
758.051,15,0.906,0.149
758.154,-9,0.907,0.113
758.258,10,0.908,0.2
758.361,-18,0.909,0.104
758.464,-18,0.91,0.118
758.568,-22,0.911,0.361
758.671,14,0.912,0.276
758.774,-16,0.913,0.021
758.878,8,0.914,0.112
758.981,9,0.915,0.542
759.084,-15,0.916,0.158
759.188,-8,0.917,0.034
759.291,11,0.918,0.025
759.394,4,0.919,0.05
759.497,30,0.921,0.251
759.6,14,0.922,0.066
759.703,-21,0.923,0.135
759.807,-32,0.924,0.02
759.91,-9,0.925,0.105
760.013,-24,0.926,0.263
760.116,-11,0.927,0.139
760.219,-3,0.928,0.271
760.322,-7,0.929,0.04
760.425,-1,0.93,0.267
760.528,-4,0.931,0.139
760.631,-12,0.932,0.077
760.733,19,0.933,0.339
760.836,-2,0.934,0.185
760.939,-9,0.936,0.158
761.042,-4,0.937,0.189
761.145,-1,0.938,0.147
761.248,-5,0.939,0.181
761.35,11,0.94,0.203
761.453,-1,0.941,0.067
761.556,-18,0.942,0.263
761.659,-4,0.943,0.078
761.761,2,0.944,0.209
761.864,-6,0.945,0.06
761.967,-10,0.946,0.183
762.069,-11,0.947,0.152
762.172,-26,0.948,0.144
762.274,-23,0.949,0.141
762.377,-13,0.951,0.322
762.479,-3,0.952,0.455
762.582,-1,0.953,0.337
762.684,-14,0.954,0.051
762.787,-10,0.955,0.033
762.889,30,0.956,0.241
762.992,-4,0.957,0.279
763.094,-1,0.958,0.101
763.196,16,0.959,0.318
763.299,-16,0.96,0.052
763.401,-9,0.961,0.008
763.503,-9,0.962,0.308
763.605,-21,0.963,0.41
763.708,-1,0.964,0.005
763.81,3,0.966,0.079
763.912,-18,0.967,0.634
764.014,-16,0.968,0.48
764.116,11,0.969,0.42
764.219,16,0.97,0.356
764.321,-8,0.971,0.008
764.423,-3,0.972,0.184
764.525,-29,0.973,0.473
764.627,-13,0.974,0.057
764.729,-25,0.975,0.022
764.831,-3,0.976,0.23
764.933,5,0.977,0.27
765.035,-7,0.978,0.053
765.137,-9,0.979,0.464
765.239,-19,0.981,0.138
765.34,-14,0.982,0.373
765.442,-11,0.983,0.329
765.544,-21,0.984,0.448
765.646,-13,0.985,0.566
765.748,7,0.986,0.049
765.849,0,0.987,0.257
765.951,3,0.988,0.081
766.053,1,0.989,0.131
766.155,-4,0.99,0.265
766.256,0,0.991,0.13
766.358,15,0.992,0.078
766.46,8,0.993,0.282
766.561,20,0.994,0.246
766.663,-3,0.996,0.199
766.764,-8,0.997,0.11
766.866,-9,0.998,0.245
766.967,6,0.999,0.472
767.069,-1,1,0.077
767.17,-4,1.001,0.037
767.272,-11,1.002,0.226
767.373,-22,1.003,0.35
767.475,1,1.004,0.229
767.576,-4,1.005,0.026
767.677,-23,1.006,0.008
767.779,1,1.007,0.225
767.88,-12,1.008,0.486
767.981,-2,1.009,0.21
768.082,-17,1.011,0.136
768.184,-2,1.012,0.304
768.285,-26,1.013,0.106
768.386,-15,1.014,0.39
