x_spektrum,y_spektrum,x_fourier_transformed,y_fourier_transformed
693.039,-7.000,0.273,2.714
693.156,-5.000,0.274,2.374
693.273,14.000,0.275,1.749
693.390,12.000,0.276,1.208
693.507,-19.000,0.278,0.538
693.624,-14.000,0.279,0.038
693.740,19.000,0.280,1.496
693.857,-4.000,0.281,2.419
693.974,4.000,0.282,2.874
694.091,11.000,0.283,3.569
694.207,-3.000,0.284,4.169
694.324,15.000,0.285,3.548
694.441,-2.000,0.286,3.231
694.557,5.000,0.287,2.069
694.674,8.000,0.288,0.260
694.790,1.000,0.289,0.682
694.907,0.000,0.290,1.990
695.023,2.000,0.291,3.228
695.140,11.000,0.293,3.103
695.256,-1.000,0.294,3.225
695.373,9.000,0.295,2.045
695.489,-1.000,0.296,0.750
695.606,32.000,0.297,0.356
695.722,26.000,0.298,1.450
695.838,-2.000,0.299,1.965
695.955,12.000,0.300,2.223
696.071,12.000,0.301,2.073
696.187,4.000,0.302,1.125
696.304,0.000,0.303,0.925
696.420,-1.000,0.304,0.094
696.536,13.000,0.305,1.421
696.652,1.000,0.306,1.253
696.769,2.000,0.308,1.189
696.885,17.000,0.309,0.497
697.001,7.000,0.310,0.145
697.117,2.000,0.311,0.155
697.233,-4.000,0.312,0.392
697.349,7.000,0.313,0.495
697.465,2.000,0.314,0.463
697.581,18.000,0.315,0.363
697.697,2.000,0.316,0.042
697.813,-8.000,0.317,0.459
697.929,-6.000,0.318,0.394
698.045,-16.000,0.319,0.236
698.161,16.000,0.320,0.239
698.277,-10.000,0.321,0.249
698.393,-18.000,0.323,0.089
698.509,-20.000,0.324,0.047
698.624,4.000,0.325,0.505
698.740,11.000,0.326,0.198
698.856,-8.000,0.327,0.043
698.972,29.000,0.328,0.519
699.087,-4.000,0.329,0.078
699.203,-11.000,0.330,0.103
699.319,-9.000,0.331,0.078
699.434,1.000,0.332,0.084
699.550,-14.000,0.333,0.270
699.666,-10.000,0.334,0.155
699.781,21.000,0.335,0.177
699.897,20.000,0.336,0.494
700.012,7.000,0.338,0.097
700.128,23.000,0.339,0.217
700.243,24.000,0.340,0.110
700.359,20.000,0.341,0.377
700.474,2.000,0.342,0.067
700.590,0.000,0.343,0.021
700.705,4.000,0.344,0.204
700.821,3.000,0.345,0.073
700.936,14.000,0.346,0.048
701.051,-13.000,0.347,0.409
701.167,12.000,0.348,0.015
701.282,6.000,0.349,0.249
701.397,-6.000,0.350,0.156
701.512,3.000,0.352,0.570
701.628,-16.000,0.353,0.025
701.743,7.000,0.354,0.031
701.858,-4.000,0.355,0.299
701.973,4.000,0.356,0.316
702.088,0.000,0.357,0.010
702.203,7.000,0.358,0.017
702.318,9.000,0.359,0.180
702.434,12.000,0.360,0.188
702.549,12.000,0.361,0.081
702.664,3.000,0.362,0.172
702.779,17.000,0.363,0.271
702.894,-4.000,0.364,0.417
703.009,-9.000,0.365,0.037
703.123,-12.000,0.367,0.135
703.238,18.000,0.368,0.227
703.353,6.000,0.369,0.108
703.468,10.000,0.370,0.112
703.583,-2.000,0.371,0.283
703.698,17.000,0.372,0.081
703.813,-8.000,0.373,0.117
703.927,6.000,0.374,0.184
704.042,5.000,0.375,0.136
704.157,12.000,0.376,0.271
704.272,6.000,0.377,0.033
704.386,3.000,0.378,0.104
704.501,3.000,0.379,0.013
704.615,17.000,0.380,0.132
704.730,-2.000,0.382,0.083
704.845,4.000,0.383,0.077
704.959,4.000,0.384,0.069
705.074,-22.000,0.385,0.131
705.188,1.000,0.386,0.101
705.303,-10.000,0.387,0.172
705.417,4.000,0.388,0.062
705.532,22.000,0.389,0.207
705.646,25.000,0.390,0.268
705.761,35.000,0.391,0.068
705.875,-14.000,0.392,0.048
705.989,-6.000,0.393,0.072
706.104,4.000,0.394,0.053
706.218,-22.000,0.395,0.019
706.332,0.000,0.397,0.250
706.447,-15.000,0.398,0.083
706.561,13.000,0.399,0.090
706.675,3.000,0.400,0.048
706.789,15.000,0.401,0.756
706.903,1.000,0.402,0.057
707.018,6.000,0.403,0.248
707.132,13.000,0.404,0.129
707.246,8.000,0.405,0.386
707.360,30.000,0.406,0.448
707.474,13.000,0.407,0.188
707.588,-16.000,0.408,0.107
707.702,0.000,0.409,0.636
707.816,6.000,0.410,0.618
707.930,7.000,0.412,0.205
708.044,11.000,0.413,0.393
708.158,16.000,0.414,0.515
708.272,-6.000,0.415,0.205
708.386,-1.000,0.416,0.281
708.500,13.000,0.417,0.285
708.613,8.000,0.418,0.172
708.727,4.000,0.419,0.054
708.841,-9.000,0.420,0.347
708.955,5.000,0.421,0.029
709.069,8.000,0.422,0.243
709.182,-39.000,0.423,0.020
709.296,-17.000,0.424,0.087
709.410,15.000,0.425,0.367
709.523,9.000,0.427,0.092
709.637,20.000,0.428,0.201
709.751,1.000,0.429,0.376
709.864,9.000,0.430,0.129
709.978,-26.000,0.431,0.253
710.091,-4.000,0.432,0.513
710.205,-22.000,0.433,0.072
710.318,3.000,0.434,0.253
710.432,1.000,0.435,0.041
710.545,1.000,0.436,0.145
710.659,7.000,0.437,0.407
710.772,18.000,0.438,0.067
710.885,1.000,0.439,0.212
710.999,0.000,0.440,0.017
711.112,13.000,0.442,0.111
711.225,18.000,0.443,0.022
711.339,-1.000,0.444,0.351
711.452,8.000,0.445,0.117
711.565,5.000,0.446,0.209
711.678,-4.000,0.447,0.133
711.792,8.000,0.448,0.366
711.905,17.000,0.449,0.048
